State, Year, Enrolled Agencies, Participating, Enrolled
AK,2020,"Alaska Department of Public Safety, Alaska State Troopers",Yes,Yes
AK,2020,"Anchorage Police Department",Yes,Yes
AK,2020,"Bethel Police Department",Yes,Yes
AK,2020,"Cordova Police Department",Yes,Yes
AK,2020,"Fairbanks International Airport",Yes,Yes
AK,2020,"Fairbanks Police Department",Yes,Yes
AK,2020,"Haines Police Department",Yes,Yes
AK,2020,"Juneau Police Department",Yes,Yes
AK,2020,"Ketchikan Police Department",Yes,Yes
AK,2020,"Kodiak Police Department",Yes,Yes
AK,2020,"Palmer Police Department",Yes,Yes
AK,2020,"Petersburg Police Department",Yes,Yes
AK,2020,"Soldotna Police Department",Yes,Yes
AK,2020,"University of Alaska, Fairbanks",Yes,Yes
AK,2020,"Valdez Police Department",Yes,Yes
AK,2020,"Wasilla Police Department",Yes,Yes
AL,2020,"Ashville Police Department",Yes,Yes
AL,2020,"Birmingham Police Department",,Yes
AL,2020,"Cottonwood Police Department",Yes,Yes
AL,2020,"Leeds Police Department",Yes,Yes
AL,2020,"Madison Police Department",Yes,Yes
AL,2020,"Millbrook Police Department",,Yes
AL,2020,"Shelby County Sheriff's Office",Yes,Yes
AR,2020,"Benton County Sheriff's Office",Yes,Yes
AR,2020,"Dallas County Sheriff's Office",,Yes
AR,2020,"Fort Smith Police Department",Yes,Yes
AR,2020,"Pope County Sheriff's Office",,Yes
AR,2020,"Pulaski County Sheriff's Office",Yes,Yes
AR,2020,"Quitman Police Department",Yes,Yes
AR,2020,"Rogers Police Department",Yes,Yes
AR,2020,"Springdale Police Department",Yes,Yes
AR,2020,"State Police Headquarters, Little Rock",Yes,Yes
AR,2020,"University of Central Arkansas",Yes,Yes
AZ,2020,"Arizona Department of Public Safety",,Yes
AZ,2020,"Casa Grande Police Department",Yes,Yes
AZ,2020,"Chandler Police Department",,Yes
AZ,2020,"Department of Public Safety, Yuma",,Yes
AZ,2020,"Flagstaff Police Department",,Yes
AZ,2020,"Fort McDowell Tribal",Yes,Yes
AZ,2020,"Gila River Indian Community",,Yes
AZ,2020,"Gilbert Police Department",Yes,Yes
AZ,2020,"Glendale Police Department",,Yes
AZ,2020,"Hualapai Tribal",Yes,Yes
AZ,2020,"Kingman Police Department",Yes,Yes
AZ,2020,"Mesa Police Department",,Yes
AZ,2020,"Northern Arizona University",Yes,Yes
AZ,2020,"Paradise Valley Police Department",Yes,Yes
AZ,2020,"Pascua Yaqui Tribal",Yes,Yes
AZ,2020,"Phoenix Police Department",,Yes
AZ,2020,"Prescott Valley Police Department",Yes,Yes
AZ,2020,"Scottsdale Police Department",Yes,Yes
AZ,2020,"Sedona Police Department",,Yes
AZ,2020,"Sierra Vista Police Department",Yes,Yes
AZ,2020,"Tempe Police Department",,Yes
AZ,2020,"Tohono O'odham Nation",Yes,Yes
AZ,2020,"Tucson Police Department",Yes,Yes
AZ,2020,"Wellton Police Department",Yes,Yes
CA,2020,"Alameda Police Department",,Yes
CA,2020,"Bakersfield Police Department",,Yes
CA,2020,"Beverly Hills Police Department",Yes,Yes
CA,2020,"Chino Police Department",Yes,Yes
CA,2020,"Citrus Heights Police Department",,Yes
CA,2020,"Claremont Police Department",Yes,Yes
CA,2020,"Department of Parks and Recreation, Orange County",,Yes
CA,2020,"Elk Grove Police Department",Yes,Yes
CA,2020,"Escalon Police Department",Yes,Yes
CA,2020,"Exeter Police Department",Yes,Yes
CA,2020,"Folsom Police Department",Yes,Yes
CA,2020,"Fresno Police Department",Yes,Yes
CA,2020,"Garden Grove Police Department",Yes,Yes
CA,2020,"Kern County Sheriff's Office",Yes,Yes
CA,2020,"Kings County Sheriff's Office",,Yes
CA,2020,"Lodi Police Department",Yes,Yes
CA,2020,"Long Beach Police Department",Yes,Yes
CA,2020,"Los Angeles International Airport Police Department",,Yes
CA,2020,"Los Angeles Police Department",Yes,Yes
CA,2020,"Marin County Sheriff's Office",,Yes
CA,2020,"Monterey Police Department",Yes,Yes
CA,2020,"Murrieta Police Department",,Yes
CA,2020,"Oakland Police Department",,Yes
CA,2020,"Orange County Sheriff's Office",Yes,Yes
CA,2020,"Pleasant Hill Police Department",,Yes
CA,2020,"San Diego County Sheriff's Office",Yes,Yes
CA,2020,"San Diego Police Department",Yes,Yes
CA,2020,"San Francisco Police Department",Yes,Yes
CA,2020,"San Joaquin Community College",Yes,Yes
CA,2020,"San Joaquin County Sheriff's Office",,Yes
CA,2020,"San Jose Police Department",Yes,Yes
CA,2020,"Santa Cruz County Sheriff's Office",Yes,Yes
CA,2020,"Seaside Police Department",,Yes
CA,2020,"University of California, Davis",Yes,Yes
CA,2020,"Vacaville Police Department",Yes,Yes
CA,2020,"Woodland Police Department",Yes,Yes
CO,2020,"22nd Judicial District Drug Task Force",,Yes
CO,2020,"Adams County Sheriff's Office",Yes,Yes
CO,2020,"Adams State University",,Yes
CO,2020,"Aims Community College",,Yes
CO,2020,"Akron Police Department",,Yes
CO,2020,"Alamosa County Sheriff's Office",,Yes
CO,2020,"Alamosa Police Department",Yes,Yes
CO,2020,"All Crimes Enforcement Team",Yes,Yes
CO,2020,"Alma Police Department",,Yes
CO,2020,"Antonito Police Department",,Yes
CO,2020,"Arapahoe Community College",Yes,Yes
CO,2020,"Arapahoe County Sheriff's Office",,Yes
CO,2020,"Archuleta County Sheriff's Office",Yes,Yes
CO,2020,"Arvada Police Department",Yes,Yes
CO,2020,"Aspen Police Department",Yes,Yes
CO,2020,"Ault Police Department",,Yes
CO,2020,"Auraria Higher Education Center",Yes,Yes
CO,2020,"Aurora Police Department",Yes,Yes
CO,2020,"Avon Police Department",,Yes
CO,2020,"Baca County Sheriff's Office",,Yes
CO,2020,"Basalt Police Department",Yes,Yes
CO,2020,"Bayfield Police Department",Yes,Yes
CO,2020,"Bent County Sheriff's Office",,Yes
CO,2020,"Berthoud Police Department",,Yes
CO,2020,"Black Hawk Police Department",Yes,Yes
CO,2020,"Blue River Police Department",Yes,Yes
CO,2020,"Boulder County Sheriff's Office",Yes,Yes
CO,2020,"Boulder Police Department",,Yes
CO,2020,"Bow Mar Police Department",,Yes
CO,2020,"Breckenridge Police Department",Yes,Yes
CO,2020,"Brighton Police Department",Yes,Yes
CO,2020,"Broomfield Police Department",Yes,Yes
CO,2020,"Brush Police Department",,Yes
CO,2020,"Buena Vista Police Department",Yes,Yes
CO,2020,"Burlington Police Department",,Yes
CO,2020,"Calhan Police Department",,Yes
CO,2020,"Campo Police Department",,Yes
CO,2020,"Canon City Police Department",Yes,Yes
CO,2020,"Carbondale Police Department",Yes,Yes
CO,2020,"Castle Rock Police Department",,Yes
CO,2020,"Cedaredge Police Department",,Yes
CO,2020,"Centennial Police Department",,Yes
CO,2020,"Center Police Department",,Yes
CO,2020,"Central City",,Yes
CO,2020,"Chaffee County Sheriff's Office",Yes,Yes
CO,2020,"Cherry Hills Village Police Department",Yes,Yes
CO,2020,"Cheyenne County Sheriff's Office",,Yes
CO,2020,"Cheyenne Wells Police Department",,Yes
CO,2020,"Clear Creek County Sheriff's Office",,Yes
CO,2020,"Collbran Police Department",,Yes
CO,2020,"Colorado Bureau of Investigation",Yes,Yes
CO,2020,"Colorado Department of Corrections",Yes,Yes
CO,2020,"Colorado Division of Gaming, Central City",Yes,Yes
CO,2020,"Colorado Division of Gaming, Cripple Creek",Yes,Yes
CO,2020,"Colorado Division of Gaming, Lakewood",Yes,Yes
CO,2020,"Colorado Mental Health Institute",,Yes
CO,2020,"Colorado School of Mines",Yes,Yes
CO,2020,"Colorado Springs Police Department",Yes,Yes
CO,2020,"Colorado State Police Executive Security",Yes,Yes
CO,2020,"Colorado State Police, Troop 1A, Golden",Yes,Yes
CO,2020,"Colorado State Police Troop 1B 1C",Yes,Yes
CO,2020,"Colorado State Police, Troop 1D, Commerce City",Yes,Yes
CO,2020,"Colorado State Police, Troop 1D, Metro District",Yes,Yes
CO,2020,"Colorado State Police Troop 1E",Yes,Yes
CO,2020,"Colorado State Police Troop 2A",Yes,Yes
CO,2020,"Colorado State Police, Troop 2B, Colorado Springs",Yes,Yes
CO,2020,"Colorado State Police Troop 2C",Yes,Yes
CO,2020,"Colorado State Police, Troop 2D, Trinidad",Yes,Yes
CO,2020,"Colorado State Police Troop 3A",Yes,Yes
CO,2020,"Colorado State Police Troop 3B",Yes,Yes
CO,2020,"Colorado State Police Troop 3C",Yes,Yes
CO,2020,"Colorado State Police Troop 3D",Yes,Yes
CO,2020,"Colorado State Police Troop 4A",Yes,Yes
CO,2020,"Colorado State Police Troop 4B",Yes,Yes
CO,2020,"Colorado State Police Troop 4C",Yes,Yes
CO,2020,"Colorado State Police, Troop 5A, Durango",Yes,Yes
CO,2020,"Colorado State Police, Troop 5A, Durango",Yes,Yes
CO,2020,"Colorado State Police Troop 5B",Yes,Yes
CO,2020,"Colorado State Police Troop 5C",Yes,Yes
CO,2020,"Colorado State University, Fort Collins",Yes,Yes
CO,2020,"Colorado State University, Pueblo",,Yes
CO,2020,"Columbine Valley Police Department",,Yes
CO,2020,"Commerce City Police Department",Yes,Yes
CO,2020,"Conejos County Sheriff's Office",Yes,Yes
CO,2020,"Cortez Police Department",,Yes
CO,2020,"Costilla County Sheriff's Office",,Yes
CO,2020,"Craig Police Department",Yes,Yes
CO,2020,"Creede Police Department",,Yes
CO,2020,"Crested Butte Police Department",Yes,Yes
CO,2020,"Cripple Creek Police Department",Yes,Yes
CO,2020,"Crowley County Sheriff's Office",Yes,Yes
CO,2020,"Custer County Sheriff's Office",Yes,Yes
CO,2020,"Dacono Police Department",,Yes
CO,2020,"De Beque Police Department",,Yes
CO,2020,"Del Norte Police Department",,Yes
CO,2020,"Delta County Sheriff's Office",,Yes
CO,2020,"Delta Montrose Drug Task Force",Yes,Yes
CO,2020,"Delta Police Department",Yes,Yes
CO,2020,"Denver County Sheriff's Office",,Yes
CO,2020,"Denver Police Department",Yes,Yes
CO,2020,"Derby Police Department",,Yes
CO,2020,"Dillon Police Department",Yes,Yes
CO,2020,"Dinosaur Police Department",,Yes
CO,2020,"Dolores County Sheriff's Office",Yes,Yes
CO,2020,"Dolores Police Department",,Yes
CO,2020,"Douglas County Sheriff's Office",Yes,Yes
CO,2020,"Dove Creek Police Department",,Yes
CO,2020,"Durango Police Department",,Yes
CO,2020,"Eads Police Department",,Yes
CO,2020,"Eagle County Sheriff's Office",Yes,Yes
CO,2020,"Eagle Police Department",Yes,Yes
CO,2020,"Eaton Police Department",Yes,Yes
CO,2020,"Edgewater Police Department",Yes,Yes
CO,2020,"Elbert County Sheriff's Office",Yes,Yes
CO,2020,"Elizabeth Police Department",Yes,Yes
CO,2020,"El Paso County Sheriff's Office",,Yes
CO,2020,"Empire Police Department",,Yes
CO,2020,"Englewood Police Department",Yes,Yes
CO,2020,"Erie Police Department",Yes,Yes
CO,2020,"Estes Park Police Department",,Yes
CO,2020,"Evans Police Department",,Yes
CO,2020,"Fairplay Police Department",Yes,Yes
CO,2020,"Federal Heights Police Department",,Yes
CO,2020,"Firestone Police Department",,Yes
CO,2020,"Flagler Police Department",,Yes
CO,2020,"Fleming Police Department",,Yes
CO,2020,"Florence Police Department",,Yes
CO,2020,"Fort Collins Police Department",Yes,Yes
CO,2020,"Fort Lewis College",Yes,Yes
CO,2020,"Fort Lupton Police Department",Yes,Yes
CO,2020,"Fort Morgan Police Department",,Yes
CO,2020,"Fountain Police Department",Yes,Yes
CO,2020,"Fowler Police Department",,Yes
CO,2020,"Fraser/Winter Park Police Department",,Yes
CO,2020,"Frederick Police Department",Yes,Yes
CO,2020,"Fremont County Sheriff's Office",Yes,Yes
CO,2020,"Frisco Police Department",Yes,Yes
CO,2020,"Fruita Police Department",Yes,Yes
CO,2020,"Garden City Police Department",Yes,Yes
CO,2020,"Garfield County Sheriff's Office",Yes,Yes
CO,2020,"Georgetown Police Department",,Yes
CO,2020,"Gilcrest Police Department",,Yes
CO,2020,"Gilpin County Sheriff's Office",Yes,Yes
CO,2020,"Glendale Police Department",Yes,Yes
CO,2020,"Glenwood Springs Police Department",Yes,Yes
CO,2020,"Golden Police Department",Yes,Yes
CO,2020,"Granada Police Department",,Yes
CO,2020,"Granby Police Department",Yes,Yes
CO,2020,"Grand County Sheriff's Office",,Yes
CO,2020,"Grand Junction Police Department",,Yes
CO,2020,"Grand Lake",,Yes
CO,2020,"Greeley Police Department",,Yes
CO,2020,"Green Mountain Falls Police Department",Yes,Yes
CO,2020,"Greenwood Village Police Department",Yes,Yes
CO,2020,"Gunnison County Sheriff's Office",Yes,Yes
CO,2020,"Gunnison Police Department",Yes,Yes
CO,2020,"Gypsum Police Department",Yes,Yes
CO,2020,"Haxtun Police Department",,Yes
CO,2020,"Hayden Police Department",Yes,Yes
CO,2020,"Hinsdale County Sheriff's Office",Yes,Yes
CO,2020,"Holly Police Department",,Yes
CO,2020,"Holyoke Police Department",,Yes
CO,2020,"Hotchkiss Police Department",Yes,Yes
CO,2020,"Hudson Police Department",Yes,Yes
CO,2020,"Huerfano County Sheriff's Office",,Yes
CO,2020,"Hugo Police Department",,Yes
CO,2020,"Idaho Springs Police Department",Yes,Yes
CO,2020,"Ignacio Police Department",,Yes
CO,2020,"Jackson County Sheriff's Office",,Yes
CO,2020,"Jefferson County Sheriff's Office",Yes,Yes
CO,2020,"Johnstown Police Department",Yes,Yes
CO,2020,"Julesburg Police Department",,Yes
CO,2020,"Keenesburg Police Department",,Yes
CO,2020,"Kersey Police Department",,Yes
CO,2020,"Kiowa County Sheriff's Office",,Yes
CO,2020,"Kiowa Police Department",,Yes
CO,2020,"Kit Carson County Sheriff's Office",,Yes
CO,2020,"Kremmling Police Department",,Yes
CO,2020,"Lafayette Police Department",Yes,Yes
CO,2020,"La Jara Police Department",,Yes
CO,2020,"La Junta Police Department",Yes,Yes
CO,2020,"Lake County Sheriff's Office",,Yes
CO,2020,"Lakeside Police Department",,Yes
CO,2020,"Lakewood Police Department",Yes,Yes
CO,2020,"Lamar Police Department",Yes,Yes
CO,2020,"La Plata County Sheriff's Office",,Yes
CO,2020,"Larimer County Sheriff's Office",Yes,Yes
CO,2020,"La Salle Police Department",Yes,Yes
CO,2020,"Las Animas County Sheriff's Office",Yes,Yes
CO,2020,"Las Animas Police Department",,Yes
CO,2020,"La Veta Police Department",,Yes
CO,2020,"Leadville Police Department",Yes,Yes
CO,2020,"Limon Police Department",Yes,Yes
CO,2020,"Lincoln County Sheriff's Office",,Yes
CO,2020,"Littleton Police Department",Yes,Yes
CO,2020,"Lochbuie Police Department",,Yes
CO,2020,"Logan County Sheriff's Office",,Yes
CO,2020,"Log Lane Village Police Department",,Yes
CO,2020,"Lone Tree Police Department",Yes,Yes
CO,2020,"Longmont Police Department",Yes,Yes
CO,2020,"Louisville Police Department",Yes,Yes
CO,2020,"Loveland Police Department",Yes,Yes
CO,2020,"Lyons Police Department",,Yes
CO,2020,"Manassa Police Department",,Yes
CO,2020,"Mancos Police Department",Yes,Yes
CO,2020,"Manitou Springs Police Department",,Yes
CO,2020,"Manzanola Police Department",,Yes
CO,2020,"Mead Police Department",,Yes
CO,2020,"Meeker Police Department",Yes,Yes
CO,2020,"Mesa County Sheriff's Office",Yes,Yes
CO,2020,"Mesa State College",,Yes
CO,2020,"Milliken Police Department",Yes,Yes
CO,2020,"Mineral County Sheriff's Office",,Yes
CO,2020,"Minturn Police Department",,Yes
CO,2020,"Moffat County Sheriff's Office",Yes,Yes
CO,2020,"Monte Vista Police Department",,Yes
CO,2020,"Montezuma County Sheriff's Office",Yes,Yes
CO,2020,"Montrose County Sheriff's Office",Yes,Yes
CO,2020,"Montrose Police Department",Yes,Yes
CO,2020,"Monument Police Department",,Yes
CO,2020,"Morgan County Sheriff's Office",,Yes
CO,2020,"Morrison Police Department",,Yes
CO,2020,"Mountain View Police Department",Yes,Yes
CO,2020,"Mountain Village Police Department",Yes,Yes
CO,2020,"Mount Crested Butte Police Department",,Yes
CO,2020,"Naturita Police Department",,Yes
CO,2020,"Nederland Police Department",Yes,Yes
CO,2020,"New Castle Police Department",,Yes
CO,2020,"Northglenn Police Department",Yes,Yes
CO,2020,"Norwood Police Department",,Yes
CO,2020,"Nucla Police Department",,Yes
CO,2020,"Oak Creek Police Department",Yes,Yes
CO,2020,"Olathe Police Department",,Yes
CO,2020,"Ordway Police Department",,Yes
CO,2020,"Otero County Sheriff's Office",,Yes
CO,2020,"Otis Police Department",,Yes
CO,2020,"Ouray County Sheriff's Office",,Yes
CO,2020,"Ouray Police Department",,Yes
CO,2020,"Pagosa Springs Police Department",,Yes
CO,2020,"Palisade Police Department",Yes,Yes
CO,2020,"Palmer Lake Police Department",,Yes
CO,2020,"Paonia Police Department",,Yes
CO,2020,"Parachute Police Department",,Yes
CO,2020,"Park County Sheriff's Office",,Yes
CO,2020,"Parker Police Department",Yes,Yes
CO,2020,"Phillips County Sheriff's Office",,Yes
CO,2020,"Pierce Police Department",,Yes
CO,2020,"Pikes Peak Community College",Yes,Yes
CO,2020,"Pitkin County Sheriff's Office",,Yes
CO,2020,"Platteville Police Department",Yes,Yes
CO,2020,"Pritchett Police Department",,Yes
CO,2020,"Prowers County Sheriff's Office",,Yes
CO,2020,"Pueblo County Sheriff's Office",Yes,Yes
CO,2020,"Pueblo Police Department",Yes,Yes
CO,2020,"Rangely Police Department",Yes,Yes
CO,2020,"Red Rocks Community College",Yes,Yes
CO,2020,"Ridgway Police Department",Yes,Yes
CO,2020,"Rifle Police Department",,Yes
CO,2020,"Rio Blanco County Sheriff's Office",Yes,Yes
CO,2020,"Rio Grande County Sheriff's Office",Yes,Yes
CO,2020,"Rocky Ford Police Department",,Yes
CO,2020,"Romeo Police Department",,Yes
CO,2020,"Routt County Sheriff's Office",Yes,Yes
CO,2020,"Saguache County Sheriff's Office",,Yes
CO,2020,"Saguache Police Department",,Yes
CO,2020,"Salida Police Department",Yes,Yes
CO,2020,"Sanford Police Department",,Yes
CO,2020,"San Juan County Sheriff's Office",Yes,Yes
CO,2020,"San Luis Police Department",,Yes
CO,2020,"San Miguel County Sheriff's Office",Yes,Yes
CO,2020,"Sedgwick County Sheriff's Office",,Yes
CO,2020,"Severance Police Department",Yes,Yes
CO,2020,"Sheridan Police Department",,Yes
CO,2020,"Silt Police Department",Yes,Yes
CO,2020,"Silverthorne Police Department",Yes,Yes
CO,2020,"Silverton Police Department",,Yes
CO,2020,"Simla Police Department",Yes,Yes
CO,2020,"Snowmass Village Police Department",,Yes
CO,2020,"South Fork Police Department",Yes,Yes
CO,2020,"South Metro Drug Task Force",,Yes
CO,2020,"Southwest Drug Task Force",Yes,Yes
CO,2020,"Springfield Police Department",,Yes
CO,2020,"State Patrol",Yes,Yes
CO,2020,"Steamboat Springs Police Department",,Yes
CO,2020,"Sterling Police Department",Yes,Yes
CO,2020,"Stratton Police Department",,Yes
CO,2020,"Summit County Sheriff's Office",Yes,Yes
CO,2020,"Teller County Sheriff's Office",,Yes
CO,2020,"Telluride Police Department",Yes,Yes
CO,2020,"Thornton Police Department",,Yes
CO,2020,"Timnath Police Department",,Yes
CO,2020,"Trinidad Police Department",Yes,Yes
CO,2020,"Two Rivers Drug Enforcement Team",,Yes
CO,2020,"University of Colorado, Boulder",Yes,Yes
CO,2020,"University of Colorado, Colorado Springs",Yes,Yes
CO,2020,"University of Colorado, Denver",Yes,Yes
CO,2020,"University of Denver",,Yes
CO,2020,"University of Northern Colorado",Yes,Yes
CO,2020,"Ute Mountain Tribal Police Department",,Yes
CO,2020,"Vail Police Department",Yes,Yes
CO,2020,"Victor Police Department",,Yes
CO,2020,"Walsenburg Police Department",,Yes
CO,2020,"Walsh Police Department",,Yes
CO,2020,"Washington County Sheriff's Office",Yes,Yes
CO,2020,"Weld County Sheriff's Office",,Yes
CO,2020,"Wellington Police Department",,Yes
CO,2020,"Westcliffe Police Department",,Yes
CO,2020,"Westminster Police Department",,Yes
CO,2020,"Wheat Ridge Police Department",Yes,Yes
CO,2020,"Wiggins Police Department",,Yes
CO,2020,"Windsor Police Department",,Yes
CO,2020,"Woodland Park Police Department",,Yes
CO,2020,"Wray Police Department",,Yes
CO,2020,"Yampa Police Department",,Yes
CO,2020,"Yuma County Sheriff's Office",,Yes
CO,2020,"Yuma Police Department",,Yes
CT,2020,"Berlin Police Department",Yes,Yes
CT,2020,"Connecticut State Police",Yes,Yes
CT,2020,"Coventry Police Department",Yes,Yes
CT,2020,"East Haven Police Department",Yes,Yes
CT,2020,"Farmington Police Department",Yes,Yes
CT,2020,"Glastonbury Police Department",Yes,Yes
CT,2020,"Mashantucket Pequot Tribal",Yes,Yes
CT,2020,"New London Police Department",,Yes
CT,2020,"Norwalk Police Department",Yes,Yes
CT,2020,"Old Saybrook Police Department",,Yes
CT,2020,"State Capitol Police",Yes,Yes
CT,2020,"Winchester Police Department",Yes,Yes
DC,2020,"Washington Metro Police Department",Yes,Yes
DE,2020,"Alcohol and Tobacco Enforcement",Yes,Yes
DE,2020,"Amtrak Police",Yes,Yes
DE,2020,"Animal Welfare, Kent County",Yes,Yes
DE,2020,"Attorney General, Kent County",Yes,Yes
DE,2020,"Attorney General, New Castle County",Yes,Yes
DE,2020,"Attorney General, Sussex County",Yes,Yes
DE,2020,"Bethany Beach Police Department",Yes,Yes
DE,2020,"Bethel Police Department",Yes,Yes
DE,2020,"Blades Police Department",Yes,Yes
DE,2020,"Bowers Beach Police Department",Yes,Yes
DE,2020,"Bridgeville Police Department",Yes,Yes
DE,2020,"Camden Police Department",Yes,Yes
DE,2020,"Cheswold Police Department",Yes,Yes
DE,2020,"Clayton Police Department",Yes,Yes
DE,2020,"Dagsboro Police Department",Yes,Yes
DE,2020,"Delaware City Police Department",Yes,Yes
DE,2020,"Delaware River-Bay Authority, Lewes Ferry",Yes,
DE,2020,"Delaware State University",Yes,Yes
DE,2020,"Delmar Police Department",Yes,Yes
DE,2020,"Dewey Beach Police Department",Yes,Yes
DE,2020,"Dover Fire Marshal",Yes,Yes
DE,2020,"Dover Police Department",Yes,Yes
DE,2020,"Ellendale Police Department",Yes,Yes
DE,2020,"Elsmere Police Department",Yes,Yes
DE,2020,"Environmental Control",Yes,Yes
DE,2020,"Environmental Protection, Marine Police, New Castle",Yes,
DE,2020,"Environmental Protection Marine Police, Sussex",Yes,
DE,2020,"Felton Police Department",Yes,Yes
DE,2020,"Fenwick Island Police Department",Yes,Yes
DE,2020,"Fish and Wildlife",Yes,Yes
DE,2020,"Frankford Police Department",Yes,Yes
DE,2020,"Frederica Police Department",Yes,Yes
DE,2020,"Georgetown Police Department",Yes,Yes
DE,2020,"Greenwood Police Department",Yes,Yes
DE,2020,"Harrington Police Department",Yes,Yes
DE,2020,"Houston Police Department",Yes,
DE,2020,"Kenton Police Department",Yes,Yes
DE,2020,"Laurel Police Department",Yes,Yes
DE,2020,"Lewes Police Department",Yes,Yes
DE,2020,"Little Creek Police Department",Yes,
DE,2020,"Magnolia Police Department",Yes,
DE,2020,"Middletown Police Department",Yes,Yes
DE,2020,"Milford Police Department",Yes,Yes
DE,2020,"Millsboro Police Department",Yes,Yes
DE,2020,"Milton Police Department",Yes,Yes
DE,2020,"Narcotics and Dangerous Drugs, Sussex",Yes,
DE,2020,"Newark Police Department",Yes,Yes
DE,2020,"New Castle County Police Department",Yes,Yes
DE,2020,"New Castle Police Department",Yes,Yes
DE,2020,"Newport Police Department",Yes,Yes
DE,2020,"Ocean View Police Department",Yes,Yes
DE,2020,"Office of Narcotics and Dangerous Drugs",Yes,Yes
DE,2020,"Park Rangers",Yes,Yes
DE,2020,"Rehoboth Beach Police Department",Yes,Yes
DE,2020,"River and Bay Authority",Yes,Yes
DE,2020,"Seaford Police Department",Yes,Yes
DE,2020,"Selbyville Police Department",Yes,Yes
DE,2020,"Smyrna Police Department",Yes,Yes
DE,2020,"South Bethany Police Department",Yes,Yes
DE,2020,"State Capitol Police",Yes,Yes
DE,2020,"State Fire Marshal",Yes,Yes
DE,2020,"State Police",Yes,Yes
DE,2020,"State Police, Kent County",Yes,Yes
DE,2020,"State Police, New Castle County",Yes,Yes
DE,2020,"State Police, Sussex County",Yes,Yes
DE,2020,"University of Delaware",Yes,Yes
DE,2020,"Viola Police Department",Yes,Yes
DE,2020,"Wilmington Fire Department",Yes,Yes
DE,2020,"Wilmington Police Department",Yes,Yes
DE,2020,"Wyoming Police Department",Yes,Yes
FL,2020,"Alachua County Sheriff's Office",Yes,Yes
FL,2020,"Altamonte Springs Police Department",Yes,Yes
FL,2020,"Atlantis Police Department",Yes,Yes
FL,2020,"Baker County Sheriff's Office",Yes,Yes
FL,2020,"Belleair Police Department",Yes,Yes
FL,2020,"Boynton Beach Police Department",Yes,Yes
FL,2020,"Bradenton Police Department",Yes,Yes
FL,2020,"Broward County Sheriff's Office",Yes,Yes
FL,2020,"Charlotte County Sheriff's Office",Yes,Yes
FL,2020,"Citrus County Sheriff's Office",,Yes
FL,2020,"Clay County Sheriff's Office",Yes,Yes
FL,2020,"Clearwater Police Department",Yes,Yes
FL,2020,"Cocoa Police Department",Yes,Yes
FL,2020,"Coral Gables Police Department",Yes,Yes
FL,2020,"Daytona Beach Police Department",Yes,Yes
FL,2020,"Daytona Beach Shores Police Department",,Yes
FL,2020,"Delray Beach Police Department",Yes,Yes
FL,2020,"Desoto County Sheriff's Office",Yes,Yes
FL,2020,"Edgewood Police Department",Yes,Yes
FL,2020,"Fernandina Beach Police Department",Yes,Yes
FL,2020,"Florida Gulf Coast University",Yes,Yes
FL,2020,"Gainesville Police Department",Yes,Yes
FL,2020,"Hernando County Sheriff's Office",Yes,Yes
FL,2020,"Highway Patrol, Miami-Dade County",Yes,Yes
FL,2020,"Hillsborough County Sheriff's Office",Yes,Yes
FL,2020,"Holmes Beach Police Department",,Yes
FL,2020,"Jacksonville Police Department",Yes,Yes
FL,2020,"Jefferson County Sheriff's Office",Yes,Yes
FL,2020,"Kenneth City Police Department",Yes,Yes
FL,2020,"Kissimmee Police Department",,Yes
FL,2020,"Lake Wales Police Department",Yes,Yes
FL,2020,"Levy County Sheriff's Office",Yes,Yes
FL,2020,"Longwood Police Department",,Yes
FL,2020,"Manatee County Sheriff's Office",Yes,Yes
FL,2020,"Melbourne Beach Police Department",Yes,Yes
FL,2020,"Milton Police Department",Yes,Yes
FL,2020,"Miramar Police Department",Yes,Yes
FL,2020,"Monroe County Sheriff's Office",Yes,Yes
FL,2020,"New College of Florida",Yes,Yes
FL,2020,"New Port Richey Police Department",Yes,Yes
FL,2020,"New Smyrna Beach Police Department",Yes,Yes
FL,2020,"North Miami Police Department",Yes,Yes
FL,2020,"North Palm Beach Police Department",Yes,Yes
FL,2020,"North Port Police Department",Yes,Yes
FL,2020,"Okeechobee County Sheriff's Office",,Yes
FL,2020,"Orange County Sheriff's Office",Yes,Yes
FL,2020,"Orlando Police Department",Yes,Yes
FL,2020,"Ormond Beach Police Department",Yes,Yes
FL,2020,"Oviedo Police Department",Yes,Yes
FL,2020,"Palm Beach Police Department",Yes,Yes
FL,2020,"Palmetto Police Department",,Yes
FL,2020,"Palm Springs Police Department",Yes,Yes
FL,2020,"Pasco County Sheriff's Office",Yes,Yes
FL,2020,"Pinellas County Sheriff's Office",Yes,Yes
FL,2020,"Pinellas Park Police Department",Yes,Yes
FL,2020,"Port Orange Police Department",Yes,Yes
FL,2020,"Punta Gorda Police Department",Yes,Yes
FL,2020,"Santa Rosa County Sheriff's Office",Yes,Yes
FL,2020,"Sarasota County Schools",Yes,Yes
FL,2020,"Sarasota County Sheriff's Office",Yes,Yes
FL,2020,"Sarasota-Manatee Airport Authority",Yes,Yes
FL,2020,"Sarasota Police Department",Yes,Yes
FL,2020,"Sebring Police Department",Yes,Yes
FL,2020,"South Daytona Police Department",Yes,Yes
FL,2020,"St. Augustine Beach Police Department",,Yes
